screen_name,statuses
CarlyGanzz,"['I just wanna smoke good weed with a bad bitch https://t.co/hftuIWfP50', 'When ur stoned af and walk by ur parents https://t.co/EUoVHxV0IW', 'dab with me? https://t.co/xDHFSGxkJ8', 'Prism Dabber ☄️ https://t.co/XQL7BhCbU3', 'only pack I need https://t.co/2b09qh6THv', 'What Summer 2016 is going to look like https://t.co/vXo2UbhXHR', '""Just chillin"" https://t.co/AjkHKLf2Fu', 'when all the blunts in rotation catch up to you at the same time https://t.co/TuPThKc866', 'best friend goals 💨 https://t.co/iKsdsWt3Ki', '""I need a cure for the hangover""\n\nMe: ""I got you"" https://t.co/o43IU3HDmJ']"
rlamartini,"['The latest The Direct primary care Daily! https://t.co/JE4GuMYLS6 Thanks to @UM_IHPI @RefurbProjects @AllezNow #primarycare #ehealth', '@dwramzimdmph @charmingorlando @RestiveRabble @EFSBenefits @Sciencelover04 @mduanemd @misterchambo @chasedave… https://t.co/O83HrKUtgD', '@FarrowPete @EFSBenefits @Sciencelover04 @mduanemd @RestiveRabble @misterchambo @chasedave @AlietaEck… https://t.co/LMV5C31i41']"
kebert9,"['Same. https://t.co/8Q2dUUXXYX', 'Happy National Public Health week to all my fellow PH folks working to make our communities healthier, safer, and m… https://t.co/qWlBLrXo0Z', 'Today was one of those days that restored my faith in the world and reminded my why I work so hard at what I do...m… https://t.co/QvFKDiEmYd', 'I spy @tyHeinz57 and I fangirling at :54 😍😍😍 https://t.co/ncR3MJhWNd']"
chng_time,"['@TheRealMikeEpps Boi you need to eat something. Ijs', ""#SyriaStrikes I'm sure those are strikes will only hit the end of a vacant runway. That's the trend right. #deter the focus remember"", '@eugenegu Point blank! Call it like it is. He will do absolutely ANYTHING to take the attention away from him. Wher… https://t.co/wk7O5x6txw', ""@ElginCharles That's right!"", '@ElginCharles Yes! What, what,🎶🎶🎶🎶 https://t.co/qlduFO7DOk', '@iamcardib Wow! On my birthday. Great title', '@ElginCharles Exactly!!', '@GabbySidibe Report him', 'Be mindful and careful of your surroundings. Everybody is not your friend.']"
xtinee410,"['@badbanji Yup, a few!', '@badbanji Right?? Saw them live a couple weeks ago, they were awesome', 'I am NOT superstitious. But I am a little stitious.', 'I just spilled half a shaker of salt and all I can say is thank The Flying Spaghetti Monster I don’t have an exam t… https://t.co/Y4TSPo6r2p', '@JuliaDiNoto I think I have to', 'Also I’ve named her Sunny because she’s a beautiful ray of sunshine']"
LifestyleMedYou,"['Top 10 Natural Dietary Sources of Vitamin D.. #lifestylemedicine #diet #supplement #vitaminD #fish #dietgoals… https://t.co/718zfkRXnb', 'Can Weekly Fish Consumption Improve Sleep Quality? #lifestylemedicine #diet #food #nutrition #fishoil #omega3… https://t.co/borTKpAxUF', 'Is Ketogenic Diet Superior to Standard American Diet for Diabetes and Weight Loss? #lifestylemedicine #keto… https://t.co/Homi7gC4aE', 'What are the health benefits of coffee?..#lifestylemedicine #nutrition #diet #coffee #caffeine #cancer… https://t.co/6JFkbe1wiF', 'Is Fat Intake Associated With an Increased Risk of Death?.. #lifestylemedicine #diet #nutrition #satfat #fat #keto… https://t.co/rzS3p9CJha', 'Does Cardio After an Overnight Fast Maximize Fat Loss?.. #cardio #fasting #running #workout #research… https://t.co/6Q0MuOD8x0', 'Good decisions come from experience.. #lifestylemedicine #motivate #motivated #motivation #motivating… https://t.co/qGOL3S2tMY', 'How To: Kettlebell Chest Press Situp.. #lifestylemedicine #kettlebell #kettlebells #kettlebelltraining… https://t.co/P8HFeh9rXM', 'Kettlebell Tabata: Swings &amp; Cleans #lifestylemedicine #kettlebell #kettlebells #crossfit #hiit #intervaltraining .. https://t.co/hEhihB2bq6', 'Top 10 Natural Dietary Sources of Vitamin C.. #vitamin #supplement #vitaminc #oranges #tomatoes #fruit #vegetables \nhttps://t.co/QO2YkbpUib']"
HMWJobs,"['See our latest #Houston, TX #job and click to apply: Histology Technician - https://t.co/Q4hOMjHzoD #Healthcare #Hiring', 'Join the Houston Methodist West Hospital team! See our latest #job opening here: https://t.co/Gm65fTR3dQ #Professional #Houston, TX #Hiring', 'See our latest #Houston, TX #job and click to apply: Medical Laboratory Technician - https://t.co/lZ61m7PkZH #Healthcare #Hiring', 'Want to work in #Houston, TX? View our latest opening: https://t.co/Ke47P3zhIs #Nursing #Job #Jobs #Hiring', 'This #job might be a great fit for you: Patient Care Assistant II - Med Surg CV/Tele (nights) -… https://t.co/YBIfrlhpPi', ""If you're looking for work in #Houston, TX, check out this #job: https://t.co/W5pGdOQuZZ #Nursing #Hiring"", 'This #job might be a great fit for you: Manager, Case Management and Social Work - https://t.co/F3DJnWZ5TZ… https://t.co/eRti614CoM', 'Can you recommend anyone for this #job in #Houston, TX? https://t.co/X56QAB20S3 #RN #Nurse #MedSurg #Hiring', 'Can you recommend anyone for this #job? Registered Nurse II (RN) - Emergency Room (nights) - $10,000 Sign On Bonus… https://t.co/ho1iWsoKJj', ""We're #hiring! Read about our latest #job opening here: Medical Staff Services Specialist II -… https://t.co/uABdmLu8xG""]"
BCMHoustonJobs,"['See our latest #Houston, TX #job and click to apply: Research Coordinator II - https://t.co/8j2M9qK021 #GeneralScience #Hiring', 'Want to work in #Houston, TX? View our latest opening: https://t.co/o7uI2bVQxN #Nursing #Job #Jobs #Hiring', 'Interested in a #job in #Houston, TX? This could be a great fit: https://t.co/AKs4Nik1zU #Hiring', 'Can you recommend anyone for this #job? BCM Temp Medical Assistant - https://t.co/dcGiqim092 #Healthcare #Houston, tx #Hiring', 'Can you recommend anyone for this #job in #Houston, TX? https://t.co/xWhB2QcbjX #physicianassistant #Hiring', ""If you're looking for work in #Houston, TX, check out this #job: https://t.co/1jq4U4dkau #Phds #postdoc #lab #Hiring"", 'This #job might be a great fit for you: Nurse Practitioner/Instructor - https://t.co/a2zcUJxERm #Nursing #NPsLead #Houston, TX #Hiring', 'Interested in a #job in #Houston, TX? This could be a great fit: https://t.co/TCEDESdwkb #Phds #postdoc #lab #Hiring', 'Can you recommend anyone for this #job? Research Associate - https://t.co/r1ORrC9ERE #GeneralScience #Houston, TX #Hiring', ""Want to work at Baylor College of Medicine? We're #hiring in #Houston, TX! Click for details:… https://t.co/dJDVOtWnDA""]"
EmerusCareers,"['Interested in a #job in #SanAntonio, TX? This could be a great fit: https://t.co/f2UYF02A61 #imaging #radiology #Hiring', 'See our latest #Burleson, TX #job and click to apply: Radiology Technologist - https://t.co/DXCs8rz8F6… https://t.co/2smTLydAfo', 'Can you recommend anyone for this #job? PCU/Telemetry Registered Nurse - https://t.co/JyBYO9mP9l #RN #Nurse #Nurse #mansfield, TX #Hiring', 'This #job might be a great fit for you: Radiology Technologist - https://t.co/CApKZEjrpW #imaging #radiology #mansfield, TX #Hiring', ""Want to work at Baptist Emergency Hospital? We're #hiring in #SanAntonio, TX! Click for details:… https://t.co/pTIO01Iqei"", 'Join the Saint Alphonsus team! See our latest #job opening here: https://t.co/CdWnVqVo8b #RN #Nurse #Nurse #Nampa, ID #Hiring', 'See our latest #SugarLand, TX #job and click to apply: Telemetry Registered Nurse - https://t.co/nhetunPJjZ… https://t.co/EFnJXlsOvx', 'Can you recommend anyone for this #job in #SanAntonio, TX? https://t.co/tm7RLNC4ZR #imaging #radiology #Hiring', 'This #job might be a great fit for you: Telemetry Registered Nurse - https://t.co/mH6LjRtjAJ #RN #Nurse #telemetry #mansfield, TX #Hiring', 'Interested in a #job in #SanAntonio, TX? This could be a great fit: https://t.co/QMEISKrNUM #imaging #radiology #Hiring']"
jamesPJordan777,"['@John_Hudson @StephanieCarvin It’s reckless and idiotic to expel diplomats when diplomacy is needed most. And Canad… https://t.co/9vavGLYUCb', '@SputnikInt @UN @nikkihaley The only thing that needs to be ‘locked and loaded’ is Nikki in a jail cell.', '@SputnikInt @UN @nikkihaley Your so stupid you are the only person who believes you ‘crippled’ a chemical weapons f… https://t.co/OwdkkF8wB8', '@SputnikInt @UN @nikkihaley Your the criminal against humanity here who needs to be tried for hiding your knowledge… https://t.co/8lTRVFMte2', '@Lora_the_Great @maliks_mamma @dewnunee @JustinTrudeau your right. There are many factions in US military and some… https://t.co/M0n9MYDyef', '@Spitfirehill @JTM_YVA @realDonaldTrump Lol I think you need to quit reading government propaganda . It’s common kn… https://t.co/oijkqFZ34U', '@woodstown610 @NoLore wouldnt give Antifa BLM that much credit.', '@NoLore Yes me too it as it definitely brings racist blacks together and leftist bullies  fabricating the phoney white privalige narrative .', '@Spitfirehill @JTM_YVA @realDonaldTrump Forgot to mention US nuclear armament is so corroded soldiers are afraid to… https://t.co/NBrPgJnRzh', '@JTM_YVA @realDonaldTrump Your a fool. Trump announced it to Putin two days ago to avoid getting schooled like they… https://t.co/Lda8VSARlk']"
mikegcraig,"['Followup comment: I had always presumed Muller retired directly after Sydney 2000.', 'Hmm, I hadnt seen this race before. 2001 M1x world champs - basically passing of torch from one generation of elite… https://t.co/YeFqIQYgD3']"
DanH_RN,"['Students on how they are getting a raw deal | Letters https://t.co/RJsTVOmG5i #GuardianHealth', 'What depressed robots can teach us about mental health | Zachary Mainen https://t.co/iOe89nvQv2 #GuardianHealth', ""Alfie Evans' parents return to court amid Alder Hey protests https://t.co/uYfUvnO3WH #GuardianHealth"", ""'Cannabis strengthened our bond': can pot make you a better parent? https://t.co/Z81u2cJwFq #GuardianHealth"", 'Brexit looks bad on all fronts. That’s why we’re pushing for a people’s vote | Hugo Dixon https://t.co/1W7NgYtJ8c #GuardianHealth', 'Universities are a key resource for the NHS. Why are they so underused? https://t.co/ZvhQt1J8Wh #GuardianHealth', 'Seven ways ... to prevent bowel cancer https://t.co/pcXVGGUwpm #GuardianHealth', 'Plans to extend personalised health budget scheme https://t.co/ThGYhI9lnL #GuardianHealth', 'Student nurses face financial hardship over loan error, says nursing body https://t.co/wZVRTKEXML #GuardianHealth', 'Hospital trusts accused of ‘backdoor privatisation’ https://t.co/DE2RhXEEQG #GuardianHealth']"
PRZtiyIWGd46cFk,"['Illinois facility dogs provide comfort in court https://t.co/mHycs0Pp1u', 'Parasite transmitted by ticks discovered in Canada Lynx https://t.co/uDekf3CcTv', 'Donors help 4-year-old get transplant evaluation https://t.co/oSEYxpK6uO', 'Excerpts from recent Minnesota editorials https://t.co/JMOfsNIgG4', 'Kentucky health agency recommending hepatitis A vaccination https://t.co/wpxYJNHs3I', 'British court rules against parents of terminally ill toddler who want to take him to Italy for trea https://t.co/2PodZF9WVL', 'Markets Right Now: Stocks move broadly higher on Wall Street https://t.co/sep1cSgqcl', 'Report: Texas foster care girls more likely to get pregnant https://t.co/sb9YZCRoL0', 'UK court rules against parents who want son to go to Italy https://t.co/2kaUZd8wYP', '16 million U.S. adults on prescription stimulants: Study https://t.co/WL5NqhEaQd']"
playwithcloud,"[""'The internet does not hate women. People hate women, and the internet allows them to do it faster, harder, and wit… https://t.co/6mMzFqMQdf"", 'Not too sure about ‘hustling’. https://t.co/k4CQEU9Hj4', '@Kristin60253509 🤣']"
adrianarncn,"['Missed breakfast today for waking up late. I was able to eat half of the burrito I bought at the Nugget. Still have… https://t.co/PW8njsiL4W', 'My car almost got jacked yesterday. The mechanic had finished fixing it inside his garage. A fam. member took it ou… https://t.co/AZjMRULNTC', 'The end of the semester is so near. I got two midterms this week. Wednesday is E&amp;M, Thursday is Solid State. So muc… https://t.co/CIAbpM4KuJ', 'I’m tired of Facebook. It’s a pain in the rear. Too much distraction from studying. https://t.co/9PRmkd0Vqv', 'Yes, I’m soft and fuzzy. Betray me or do me harm, and I come as a deadly scorpion. So, let me be that lamby. I like… https://t.co/VSZU4mFM5y', 'Cold morning as I drop my car June to the mechanic. My hands are freezing. https://t.co/01eP6YTpPj', 'I love to eat sea bottom feeders like shrimp, crab, lobster, and scallops. However pork, I hate pork. It’s just wei… https://t.co/Y24l7fK2k9', 'I’m totally like Parker. Twenty pounds of crazy in a 5 pound bag. https://t.co/GBMwGFGrdj', 'It turns out that I am allergic to coffee and non-dairy creamer. There goes my coffee addiction. Bye-bye sweet elix… https://t.co/HH2QuJyu7f', 'Someone bought me flower this morning and brought it to the department office. It’s for getting the ORSP summer awa… https://t.co/MCuEE81R0K']"
VinceCharron,"['https://t.co/ikqhxlla3t', 'Several major intersections on Innes Rd no traffic lights no red flashers. #otttraffic https://t.co/XEdq30RmZs', '@OttawaCitizen This justifies arguing death penalty.', '@OttawaCitizen Mid-April Snow-day for the kids. A new record.', '@big_mt0 I am moving to northern Quebec.', ""@OttSchoolBus Could Monday April 16th be Ottawa's latest in season Snow-Day ever?"", '@JimWatsonOttawa @ShadQadri @AlgonquinColleg Where is the Canterbury garage sale, indoors?', '@LeahCTV', '@BlacksWeather #Ottawa #OttWx\nBig miss in my opinion.  Anticyclone north of Ottawa pushed that bad baby south - not… https://t.co/Xmz0gzyehi']"
JoshuaNiforatos,"['@TheSGEM @eeo361 @Jmherri @emlitofnote And later stated by David Hume in An Enquiry Concerning Human Understanding :)', '@Jmherri @eeo361 @TheSGEM @emlitofnote For me it’s more: do we have to have PERFECT methodological studies to have… https://t.co/mC9lJRsyBK', '@Jmherri @eeo361 @TheSGEM @emlitofnote Questioning philosophical assumptions is hardly relativism, by definition. I… https://t.co/u2AJ9W264a', '@eeo361 @Jmherri @TheSGEM @emlitofnote Stats is tough &amp; time consuming. I’m lucky I have the time to focus on it cu… https://t.co/uprzsNvKZH', '@eeo361 @Jmherri @TheSGEM @emlitofnote then what happens is people cite some “stats god” with “tons of pubs”. I sus… https://t.co/UwkjCiBIhZ', '@eeo361 @Jmherri @TheSGEM @emlitofnote TL;DR — it’s important to remain skeptical, about everything, even our own w… https://t.co/ATVfHCiYjg', '@eeo361 @Jmherri @TheSGEM @emlitofnote then what happens is people cite some “stats god” with “tons of pubs”. I sus… https://t.co/t46j7U0Ujy', '@eeo361 @Jmherri @TheSGEM @emlitofnote I get what everyone is saying but I mean it’s important to also be cognizant… https://t.co/9ASZyjKknJ', '@EMSwami @EMNerd_ @richardbody @PulmCrit @PharmERToxGuy @smithECGBlog @lapizity @edecmo @ToxAndHound @FTeranmd… https://t.co/r9mcj08GjD']"
SarahNdeLeeuw,"['Me...for free!! Good luck...@bcbookprizes @NeWestPress #WhereItHurts https://t.co/h9AsdyTHFv', 'The ReLit Awards have always recognized some of the most inspiring and thought-provoking books of the year. Huge co… https://t.co/dKFEP9KZtF']"
pkguru10,"['The Key to success is not always Skills!! You do need “Skills + a bit of Luck”!! #skills #success #luck #perspective https://t.co/L4OeRMCxig', 'Going through the Guidelines!! 😊 Our new visitors on my night shift!! Really appreciate our awesome Team...… https://t.co/hR9uh5rXqk', '“Achieving goal is nothing. The getting there is everything.” :- Jules Michelet \nMy first 10K!! Thanks to Nishat, &amp;… https://t.co/LkBushJBHF', 'Passion is Personal... And, Perfection is Prejudiced!! Focus on First, not the Second.💐💐#passion #perfection… https://t.co/VbluGqWwiE', 'Role of Pupillary &amp; Corneal Reflex! Dr Ing excellent presentation for Neuroprgnostication after cardiac arrest!!… https://t.co/pJ3jm5CREg', 'Too good to ignore!! https://t.co/loTXnae8J7', '@pmorenofranco As I read it somewhere....In reality statistical tests never tell us with 100% certainty whether a h… https://t.co/VsURgnAkec', '@pmorenofranco Nope: P value has many flaws \n- it ignores pre-test probability\n- are not reproducible\n- tells us th… https://t.co/eLX8gOEvrv']"
raytopian,"['The latest DAILY GLOBALIST! https://t.co/dmtHx0rCc5 Thanks to @bdcfl @littlegluestick @InfoGreenWorld #climatechange #globalwarming', 'Top story: Archie Comics on Twitter: ""The #Riverdale musical episode is just tw… https://t.co/dei7mvG2ZO, see more https://t.co/sEFld8EqWT', 'Top story: No Kid Hungry on Twitter: ""Thanks for the s/o Patricia! We believe a… https://t.co/hZbvHygaGk, see more https://t.co/oj1Z44vaej', 'Top story: Irish America on Twitter: ""The #Irish Mansion in Greeneville, #Tenne… https://t.co/XZn5JHbpAI, see more https://t.co/BkYNhqjwBt', 'Top story: Indie Music LIVE! 50 w/ Merlot Embargo, Rick Mercer, Jeff Baker by I… https://t.co/a8mg1BTFXP, see more https://t.co/Dv4aK6rm1Y', ""Top story: @rachaelray: 'And, I’m cooking a fried chicken sandwich stacked with… https://t.co/iSpvJShxOU, see more https://t.co/sJCVZEW1Ej"", 'Top story: Puerto Rico a growing hub for cocaine, heroin shipments to the US https://t.co/O7jDokb54V, see more https://t.co/RcylPffBz5', 'Top story: Antiquity gets a fresh twist at revamped Getty Villa | The Art Newsp… https://t.co/OmDGih3nTS, see more https://t.co/2ZcDoov5aj', 'Top story: Kohaku no Yume on Twitter: ""New #HousekiNoKuni cosplay pics 💎💎💎\nA… https://t.co/J9CPv7LZTj, see more https://t.co/sEFld8EqWT', ""Top story: @moodvintage: 'Humphrey Bogart and Lauren Bacall ' https://t.co/NXDwSkrIcJ, see more https://t.co/BkYNhqjwBt""]"
BenHatterick,"['How many fools wasted their time watching that USELESS comey interview last night?All we saw was a loser trying to… https://t.co/PEG5nHrt4K', '@FLOTUS Towers above that racist liar michelle!', '@TyEducatingLibs @realDonaldTrump HEY PEOPLE...the liberal media is quickly pointing out 20% ofTrumps fundraising m… https://t.co/hEQcLnYdCh', '@TyEducatingLibs @realDonaldTrump And the liberal media tries so desperately to convince the American voters Presid… https://t.co/DbywGNs3Gn', '@TheGoldWaterUS Belief in God and our Savior Jesus, are true and deep rooted! The one and only TRUE GOD!', '@Education4Libs @JEBHR Simply, just look at their idol.....hillary! Lol! MAGA!', '@TyEducatingLibs So called ""feminists"" are nothing more than females, upset because they\'re of the sex they are! Eq… https://t.co/965ceGL4au', '@kwilli1046 If one listens hard enough, you can hear muslims dying now.....']"
mikegcraig,"['Followup comment: I had always presumed Muller retired directly after Sydney 2000.', 'Hmm, I hadnt seen this race before. 2001 M1x world champs - basically passing of torch from one generation of elite… https://t.co/YeFqIQYgD3']"
JanetJory,"['This is What some Local Lads did to my ""Mothers Day "" present &amp; ruined some plants I had potted up !! This was Last… https://t.co/ivG5F6vWng', '@VictoriaLIVE We had a problem with kids in an area where we lived 10 years ago ,I started a youth club with £250 o… https://t.co/XNpMh17plm', 'Midless Vandalism of ""Mothers Day"" Gift by 3 silly teenage Boys !! https://t.co/LscreDzxAK', '@VictoriaLIVE @LeeJasper What a VERY good disscussion on the programme ,Gold Star , as far as I could see.', '@vicderbyshire Parenting! Is All!!', '🌻📱Enjoy Archaeology Online This Summer 📱🌻: https://t.co/2uJ9o7ifRl', '@guardiannews Bless you all.x', 'Having A Special ""Drip Infusion yesterday for my R.A. "" @ Royal Mineral Hospital Bath.Thank you all The Nurses ,see… https://t.co/nzFKeme4pC', '@wiltscouncil @oldgeorgemall What I want to know!! is WHY the poor animals in The Couples Animals house had not bee… https://t.co/UP4S1HFgOT', '@DimplexUK Looks good!!']"
kellylpn,"['@JeremiahRose13 @pollsofpolitics @realDonaldTrump @POTUS Speak English much?', '@JordanUhl @JacobAWohl is one of the biggest idiots on Twitter.', '@JTM_YVA @realDonaldTrump STFU dude.', ""@realDonaldTrump Wow. You're on a freakin roll this morning! Have a Snickers dude.""]"
DaveLetele,"['Massive congrats to Rob who has turned back the clock in just 3 weeks ! \n\nHe has lost 6kg and is… https://t.co/8YHdLrxfu8', 'This was so awesome. \n\n#BBM is known by young and old, near and far .\n\nSorry blessed to be able… https://t.co/J1qQLQIoIM', 'It was a great #BBM ZUU set this morning at The World Indigenous Summit \n\nThank you Pania from… https://t.co/iMzqIFANPP', 'Time with my two older boys in Paihia. \nIt’s beautiful here ! \nI’m here to run some #BBM bootcamps at the world ind… https://t.co/p05TgdxjLe', 'Time with my two older boys in Paihia. \n\nIt’s beautiful here ! \n\nI’m here to run some #BBM… https://t.co/R4cWp0hH3B', '@kingkapisi all day Uso', 'If we can you can .\n\nJust start team. \n\nLink ini my bio for all my meal plans and workouts… https://t.co/YlsaxAjIr9', 'Meet part of my #BBM leadership team . \n\nAll of my team leaders turned up at one of my sets to… https://t.co/2dA3gL8r7B', 'The #BBM healthy living seminar was a huge success !!! \n\nIt was so good to see so many new faces… https://t.co/s8jD61t6z4']"
Health_Jobs_CA,"['The Latest: Thousands without power as storms hit Carolinas - Minneapolis Star Tribune: The Latest: Thousands witho… https://t.co/j91hoTwmE5', 'China, Japan Vow North Korea Cooperation, Plan High-Level Visits - Bloomberg: Bloomberg China, Japan Vow North Kore… https://t.co/F16wfkv6NH', ""'It was chaos': What started the brawl at Greenwood Sikh temple - Indianapolis Star: Indianapolis Star 'It was chao… https://t.co/hxWLBkoYVy"", '2018 ACM Awards highlights and winners - live updates - CBS News: CBS News 2018 ACM Awards highlights and winners -… https://t.co/5CMz3C69Ku', 'Former First Lady Barbara Bush in Failing Health, Spokesman Says - Bloomberg: Bloomberg Former First Lady Barbara B… https://t.co/BlUG4FBcfl', 'Saudi king slams Iran, US Jerusalem move at Arab summit - Yahoo News: Yahoo News Saudi king slams Iran, US Jerusale… https://t.co/Ky9A4cMZq9', ""Trump assails Comey in tweetstorm, suggests ex-FBI director deserves 'jail' - Washington Post: Washington Post Trum… https://t.co/RZ3DaVdSgq"", ""Beyoncé Reunites with Destiny's Child — and Makes History! — in Epic Coachella Performance -… https://t.co/To3mFm83Vy"", 'Hundreds rally at Maine Capitol in support of gun rights - ABC News: ABC News Hundreds rally at Maine Capitol in su… https://t.co/hmAgLCCe7o', ""Prominent LGBTQ Lawyer Sets Self On Fire In 'Protest Suicide' Of Climate Change - HuffPost: HuffPost Prominent LGBT… https://t.co/LU7yTcJSY8""]"
MaraBennerFDW,"['Reflexology, anyone?  Hear from Four Directions Wellness founder, Mara Benner, on the benefits of reflexology.… https://t.co/PSzrJDK2xB', 'Dream delivers us to dream, and there is no end to illusion. Life is like a train of moods like a string of beads,… https://t.co/HmQNo2F0rG', '""Treasure this day and treasure yourself, neither will ever happen again.""\nRay Bradbury https://t.co/9tav5td77Y', 'Less than a month away!\nJoin Four Directions Wellness for this 7-series class on the wonderful world of chakras!\nEa… https://t.co/pf9LoTkDjf', '#TaiChi, a form of #Qigong, is found to have great benefits for #Fibromyalgia.  The practice has wonderful wellness… https://t.co/IXACgDwQTx', 'Ever wondered about the #chakras and why it is important to clear both the chakras and your #aura?  Enjoy this wond… https://t.co/swyc0VNSjm', 'Reiki Level One Certification begins on Tuesday, April 17.\nLearn this Japanese technique that provides excellent se… https://t.co/voFi8uTXAL', 'Washington Post article explores how #meditation helped alleviate signs of #depression.  https://t.co/vfbG2VV2jM… https://t.co/Egv5woz01t', '5 Ways to Listen from your Heart.  Powerful ways to show compassion and understanding by listening and coming from… https://t.co/8m4CTckbJF', 'Meditating to Reduce Stress and\xa0Anxiety https://t.co/WPLeSKgQKG https://t.co/hSn4mWYx0R']"
modiquinn,"[""SM is crawling with scammers, stalkers and perverts! Numerous fake Pastor John Hagee accounts doing the rounds! I'v… https://t.co/j2gT7kxPuv"", '@Pecan800 @ptjohncharlesha @MarkAnthonyPage You and @MarkAnthonyPage have supported me very well! Thank you both so… https://t.co/rKKKQDPm8l', ""@ptjohncharlesha Thx for the support @MarkAnthonyPage @Pecan800 Please report this one above TOO! Won't leave me alone!"", ""What's wrong with you ppl? Another fake! @ptjohncharlesha The real Pastor John Hagee has a VERIFIED ACCOUNT!!! Reported!"", 'Oh go away you fake! @Past0rJ0hnHagee I am sick of you and your ilk targeting me &amp; innocent people! The real Pastor… https://t.co/QeCfuCSAK3', ""@BlueWaterDays @PHageee He's already reported as are NUMEROUS other fake Pastor John Hagee accounts on here. Real one has a VERIFIED account"", ""@TheSun Gives a new meaning to the smokey eyed look! Now I'll never be able to look at my soft brown eye shadows in the same way again!!!"", '@AliceOutThere Exactly. No decent person does that! #pwme need to avoid him!!!', ""@AliceOutThere Alice, do you know anything about this guy who recently posted this? He's been around a good while s… https://t.co/6EWAYRbqIx""]"
selectivor,"[""We've all heard the risks of eating highly processed foods, but do we know why these foods are so unhealthy for us?… https://t.co/jWMB5CPySA"", 'One in five American adults suffer from heartburn. Do you? Learn how to avoid reflux (heartburn) with #Selectivor.… https://t.co/HJK5FfHGjQ', 'Did you know fish can be hidden in unsuspecting foods like caesar salads? If you suffer from a fish allergy, be sur… https://t.co/81CbwMQAnv', 'Milk is hidden in many foods, including non-dairy foods like deli meats. Visit https://t.co/OD2rqCElMT to learn mor… https://t.co/Zhrg1ht0iO', 'Looking for a new low-sodium diet? Check out these delicious recipes from @EatingWell😋 #selectivor #diet  https://t.co/7gnWNSRIrx', '#Selectivor is a great tool for guests with dietary restrictions or food preferences! Learn more at… https://t.co/gYL4uZCCmX', 'Up to 12% of women show symptoms of Interstitial Cystitis. Do you? Learn more about #IC with Selectivor. ✅… https://t.co/Dl1sbTdTHR', ""Are you or someone you know on a low-carb diet? Here's the top 5 things you need to know 🍞🍝❗#selectivor #diet… https://t.co/G1Av89g2Ss"", '@FoodAllergy It’s so tough to steer clear of eggs when you have an #eggallergy!']"
Bod_eCloud,"['Top story: Daniel Schneider on Twitter: ""Lion Cubs in #SouthAfrica are contract… https://t.co/dxEPktTQUV, see more https://t.co/rtEVfIDB0Q', 'Top story: Top Health News  Stephen Black on Twitter: ""This is my grandfather, … https://t.co/ey0Q0eQTRh, see more https://t.co/PST4HGdgAO', 'Top story: Tatiana Prowell, MD on Twitter: ""“Whole genome sequencing provides a… https://t.co/uEfFADznv1, see more https://t.co/rtEVfIDB0Q', 'Top story: Roberto Viola on Twitter: ""With computer simulations, doctors &amp; expe… https://t.co/Ln9WNkCC4P, see more https://t.co/rtEVfIDB0Q', 'Top story: Stanford Children\'s on Twitter: ""After losing two friends unexpected… https://t.co/4JX408wlcP, see more https://t.co/rtEVfIDB0Q', 'Top story: Dr. Muin Khoury on Twitter: ""Five public health responses to rare di… https://t.co/0phzm1zjcM, see more https://t.co/rtEVfIDB0Q', 'Top story: Eloxx Pharmaceuticals: Promising Treatment for Rare Genetic Diseases… https://t.co/QWo99FfS02, see more https://t.co/rtEVfIDB0Q', 'Top story: Top Health News  tianna on Twitter: ""rt if you believe that taking o… https://t.co/xOxX4bZ2j3, see more https://t.co/PST4HGdgAO', 'Top story: Rare Diseases Europe on Twitter: ""Watch live now! 66 experts gather … https://t.co/Fdw1TZUvNa, see more https://t.co/rtEVfIDB0Q', 'Top story: Top Health News  A sperm whale that washed up on a beach in Spain ha… https://t.co/nRLVc5TQB3, see more https://t.co/PST4HGdgAO']"
countofbluecars,"['@tomservo10 Because Trump is under heavier siege than usual, so his comrades have to come to his defense.', '@Patrixmyth Live IN an either/or world. Damn autocorrect.', '@Patrixmyth You are probably right, but that POV is a bit too nuanced for many who live there n an either/or world.', 'All hopes of going to my first @PortlandSeaDogs game of the season were dashed before I even got out of bed when I… https://t.co/5SPXPEos1q']"
